M860A          MODECRAFT FASHIONS            ACCOUNTS PAYABLE DEPT.        1830 ROUTE 130N               BURLINGTON       NJ08016    0053092470122104  34800.00  12N/10 EOM + 60                 801773301      
K122A          K&G                           A/P DEPARTMENT                1225 CHATTAHOOCHEE AVE NW     ATLANTA          GA30318     010092471122104   1984.98   3NET 30                        005407         
C450A          CINTAS CORP                   P.O.BOX 625737                6800-CINTAS BLVD.             CINCINNATI       OH45262    0000092472122104   4923.25   3NET 30                        1049011        
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    1231092473122104   2317.00   6N/60                          9506050016     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2013092474122104   2299.50   6N/60                          4851213547     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    1061092475122104   1948.50   6N/60                          4851213547     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    5363092476122104   2317.00   6N/60                          9506050016     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    3313092477122104   2146.50   6N/60                          9506050016     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    5373092478122104   2317.00   6N/60                          9506050016     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    5190092479122104   2317.00   6N/60                          9506050016     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    5340092480122104   2317.00   6N/60                          9506050016     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    5330092481122104   2317.00   6N/60                          9506050016     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    5481092482122104   2317.00   6N/60                          9506050016     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    1712092483122104    195.75   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2210092484122104    203.50   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2460092485122104    131.00   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    1605092486122104    171.50   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    1612092487122104    175.50   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2299092488122104    153.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2267092489122104    213.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2262092490122104    179.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2484092491122104    180.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2700092492122104    102.75   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    1233092493122104   2299.50   6N/60                          4851213547     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    0403092494122104   2308.25   6N/60                          4851213547     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    0300092495122104   2317.00   6N/60                          4851213547     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2727092496122104    259.75   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    1682092497122104    244.50   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2713092498122104    188.00   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    1390092499122104    235.50   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2116092500122104    173.75   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2459092501122104    172.50   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2873092502122104    165.75   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2814092503122104    235.50   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2846092504122104    169.75   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2535092505122104    142.50   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2679092506122104    102.75   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    3527092507122104    129.00   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    3522092508122104    147.50   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2749092509122104    166.75   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2761092510122104    100.75   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    3548092511122104    192.00   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2929092512122104    152.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    5173092513122104    142.50   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    5049092514122104    174.50   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    3207092515122104    134.75   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    3206092516122104    171.50   6N/60                          4851214745     
