STYLE,WEIGHT PER ITEM,W ,D ,H
105,1.30,59,44,34
115,1.30,59,44,34
230,1.30,59,44,34
300,1.30,59,44,34
305,1.30,59,44,34
305B,1.50,67,50,37
310,1.30,59,44,34
405,1.30,62,46,37
620,1.30,62,45,35
625,1.50,67,56,37
715,1.10,61,48,34
777,2.00,66,62,36
910,1.50,62,48,35
940,1.50,67,50,37
940X,1.50,67,57,37
950,1.50,62,52,35
955,1.50,62,52,35
ARCUS-L,1.49,57,38,29
ARCUS-R,1.49,57,38,29
ARCUS-S,1.44,57,38,29
BALAN,0.98,58,38,38
BEDIVERE,1.58,68,48,34
BNCTHVL,0.66,40,30,46
BNCTHVR,0.66,40,30,46
BNCTHVS,0.66,40,30,46
BNCTL,0.66,40,30,46
BNCTR,0.66,40,30,46
BNCTS,0.66,40,30,46
BW225,0.75,58,40,42
BW230,0.89,58,40,42
CBA1,0.30,31,28,31
CBL1,0.30,52,38,44
CBL2,0.35,52,38,44
CBL3,0.22,50,35,44
CBL4,0.27,50,35,44
CBL5,0.30,50,38,44
CBL6,0.35,50,38,44
CBLT1,0.30,35,25,35
CBLT2,0.30,35,25,35
CBLTR1,0.30,35,25,35
CBMT1,0.30,35,25,35
CCAP1,0.14,48,33,26
CCAP1-STR,0.14,48,33,26
CCAP2,0.14,48,33,26
CCAP3,0.13,48,33,26
CCAP4,0.14,48,32,26
CCAP5,0.11,48,32,31
CCAP6,0.13,48,33,26
CCJ1,0.34,56,36,31
CCJ2,0.40,52,35,31
CCRA1,0.22,50,35,44
CCTR1,0.41,37,29,34
CCTR1-BC,0.41,37,29,34
CCTR1-CB,0.41,37,29,34
CFA1,1.10,40,36,37
CFARF1,0.80,40,36,37
CHAT2,0.03,31,28,31
CHDR1,0.50,35,25,52
CHDR1-STR,0.50,35,25,52
CHDT1,0.35,35,24,45
CHLT1,0.35,35,25,45
CHLT1-STR,0.35,35,25,45
CHLTR1,0.33,40,30,30
CHLTR2,0.33,40,30,30
CHMT1,0.35,35,25,45
CHMTR1,0.35,40,30,30
CHSTR1,0.33,53,37,18
CHVLT1,0.36,53,37,18
CJU1,0.27,50,35,44
CLTRO1L,0.40,63,35,25
CLTRO1R,0.40,63,35,25
CLTRO2L,0.22,50,35,44
CLTRO2R,0.27,50,35,44
CMTRO1L,0.45,63,38,28
CMTRO1R,0.45,63,38,28
CMTRO2L,0.45,63,38,28
CMTRO2R,0.45,63,38,28
CORONA,0.47,57,34,31
CSC1,0.30,53,37,18
CSH1,0.40,63,35,25
CSH2,0.40,63,35,25
CSH3,0.30,50,38,44
CSH4,0.35,50,38,44
CSH5,0.30,52,38,44
CSH6,0.30,52,38,44
CTAB1,0.23,40,30,30
CTAB2,0.23,40,30,30
CTIE1,0.30,76,39,29
CTIE2,0.30,76,39,29
CWSJ1,0.30,52,38,35
CWSJ2,0.30,60,37,28
DLTPBS,1.28,42,36,36
